ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|itn_easting|itn_northing|itn_toid|itn_toid_version|distance|address_detail|street_name|locality|geographic_county|postcode|verified_address|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
17133659|St Barnabas' Church|06340459|264011|664286|1||0001000040525733|8|264043.4|664288.4|5000005158372663|1|32.4||||Strathclyde|G32|N|Glasgow City||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176832|St Mungo's Church|06340459|265710|666871|1||5000005156057313|1|265747|666863|4000000005165639|6|37.9||||Strathclyde|G33|N|Glasgow City||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131317|Craigrownie Church|06340459|222421|681055|1||0001000039813956|4|222446.5|681046.9|4000000005280610|7|26.8||||Strathclyde|G84|N|Argyll and Bute||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17136509|Rosehall Church|06340459|327024|672096|1||0001000036609500|3|327015.9|672109.5|4000000006255351|5|15.7||||Lothian|EH16|N|City of Edinburgh||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17138779|Anwoth Parish Church|06340459|258225|555949|1||0001000031460261|4|258192.2|555951.5|4000000006882233|8|32.9||||Dumfries and Galloway|DG7|N|Dumfries and Galloway||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17139211|Crichton Memorial Church|06340459|298271|574101|1||0001000031535699|5|298264.5|574117.8|4000000006892144|6|18||||Dumfries and Galloway|DG1|N|Dumfries and Galloway||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17135658|Clackmannan Church|06340459|290978|691840|1||0001000036183990|3|290980.4|691884.1|4000000005195879|6|44.1||||Central|FK10|N|Clackmannanshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176387|Church of St Cumin|06340459|168602|792789|1||0001000039266013|4|168610.9|792755.6|4000000004228571|4|34.5||||Highland|PH40|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176787|Church of Christ|06340459|258490|663021|1||0001000040410402|6|258500.2|663018.7|4000000005151407|6|10.4||||Strathclyde|G42|N|Glasgow City||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176199|Daviot Church|06340459|272347|839450|1||0001000038856197|5|272295.5|839450.6|4000000003516039|8|51.5||||Highland|IV2|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176119|Catholic Church of Christ the King|06340459|290814|903800|1||0001000038714130|4|290785.2|903782.3|5000005117623170|1|33.8||||Highland|KW9|N|Highland||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17177398|Holy Trinity Church|06340459|313603|581503|1||0001000031643791|3|313624|581498.2|4000000007123865|6|21.5||||Dumfries and Galloway|DG11|N|Dumfries and Galloway||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17130815|Kilmichael of Inverlussa Parish Church|06340459|177420|685786|2||Not Assigned|0|177400|685883|4000000004871917|7|99||||Strathclyde|PA31|N|Argyll and Bute||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17136041|St Andrew's Church|06340459|314957|651618|1||0001000036404396|5|314941.1|651611.7|4000000006229869|8|17.1||||Scottish Borders|EH46|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131940|Patna and Waterside Parish Church|06340459|241213|610642|1||0001000040040651|6|241190.7|610648.8|4000000005340475|3|23.4||||Strathclyde|KA6|N|East Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17134795|St John Vianney's R C Church|06340459|288671|697061|1||0001000036163806|3|288672.1|697072.2|4000000005331055|4|11.3||||Central|FK12|N|Clackmannanshire||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17135953|West Baptist Church|06340459|308730|687667|1||0001000036348732|2|308726|687679.6|4000000006270628|8|13.2||||Fife|KY12|N|Fife||||Religion|Baptist (Christian)|Ordnance Survey|2015-12-01
17177448|All Saints' Church|06340459|331798|567306|1||0001000031701434|6|331796.6|567271|5000005128375005|1|35||||Dumfries and Galloway|DG16|N|Dumfries and Galloway||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17136040|St Mungo's Church|06340459|314797|651802|1||0001000036404406|4|314782.6|651809.2|4000000006229720|7|16.1||||Scottish Borders|EH46|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17176698|Spiritualist National Church|06340459|243173|637542|1||0001000040081641|3|243184.6|637535|4000000005081236|5|13.5||||Strathclyde|KA1|N|East Ayrshire||||Religion|Spiritualist|Ordnance Survey|2015-12-01
17133511|St Francis of Assisi R C Church|06340459|266842|663404|1||0001000040582876|3|266851.8|663372.9|4000000005160716|8|32.6||||Strathclyde|G69|N|Glasgow City||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17132277|Orr Square Church|06340459|247977|664048|1||1000000302608014|3|248007.4|664016.2|4000000005364068|4|44||||Strathclyde|PA1|N|Renfrewshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17130314|St Ninian's Church|06340459|359971|760268|1||0001000039670946|5|359980|760286|4000000004502693|9|20.1||||Tayside|DD9|N|Angus||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17128861|Inishail Church|06340459|210956|723330|1||0001000039290727|2|210961.3|723319.8|4000000004293547|9|11.4||||Strathclyde|PA33|N|Argyll and Bute||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17124667|Whiteness Methodist Church|06340459|439017|1145753|1||0001000038639146|4|439003|1145757.1|4000000003218539|10|14.6||||Shetland|ZE2|N|Shetland Islands||||Religion|Methodism (Christian)|Ordnance Survey|2015-12-01
17134527|St Mark's Parish Church|06340459|280047|656580|1||0001000040852283|4|280015.3|656569.7|4000000005128059|7|33.3||||Strathclyde|ML2|N|North Lanarkshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17132987|Holy Cross Episcopal Church|06340459|253455|669731|1||0001000040263243|3|253425.9|669714.9|4000000005148711|6|33.3||||Strathclyde|G13|N|Glasgow City||||Religion|Scottish Episcopal (Christian)|Ordnance Survey|2015-12-01
17130207|All Saints' Church|06340459|351207|716794|1||0001000039640488|4|351222.5|716788.4|4000000004495467|5|16.5||||Fife|KY16|N|Fife||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126064|Arnisort Mission Church|06340459|134888|853104|1||0001000038760886|5|134904.2|853091|5000005113448804|1|20.8||||Inner Hebrides|IV51|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17124734|Ollaberry Church|06340459|436681|1180556|1||0001000038635528|4|436667.5|1180567.1|4000000003221669|9|17.5||||Shetland|ZE2|N|Shetland Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129137|Baptist Church|06340459|294200|758036|1||0001000039336417|4|294178.1|757999.4|4000000004296457|9|42.7||||Tayside|PH16|N|Perth and Kinross||||Religion|Baptist (Christian)|Ordnance Survey|2015-12-01
17137457|St John's Church|06340459|365093|620982|1||0001000036812176|4|365075.7|620961.9|4000000006281500|11|26.6||||Scottish Borders|TD8|N|Scottish Borders||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17133067|St Stephen's R C Church|06340459|259830|666836|1||5000005154325437|1|259861|666861|4000000005163714|6|39.8||||Strathclyde|G21|N|Glasgow City||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17125734|Bunillidh Church|06340459|302453|915391|1||0001000038717492|4|302431.4|915396.4|4000000003377130|5|22.3||||Highland|KW8|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125909|Burray Church|06340459|347189|995652|1||0001000038748994|4|347207.8|995593.6|4000000003376155|7|61.4||||Orkney|KW17|N|Orkney Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126242|Badcaul Church of Scotland|06340459|201899|891931|1||0001000038778640|5|201914|891938.1|4000000003518765|8|16.6||||Highland|IV23|N|Highland||||Religion|Church of Scotland (Christian)|Ordnance Survey|2015-12-01
